,NameOfStation,Name,Latitude_WGS84,Longitude_WGS84,Xs,Ys
393,Семёновская,"Семеновская, вход в вестибюль",55.78315566,37.71929008,1910306.12416562,6418213.3903697105
394,Серпуховская,"Серпуховская, вход-выход 1 в вестибюль",55.726855,37.6248829,1906664.085677261,6410164.645661921
395,Улица 1905 года,"Улица 1905 года, вход-выход 2 во 2-й вестибюль",55.765717,37.560177,1901288.8178632972,6413000.503384203
396,Улица академика Янгеля,"Улица академика Янгеля, вход-выход 2 в южный вестибюль",55.5942546,37.6011148,1910132.759897338,6395370.689701801
397,Бульвар Рокоссовского,"Бульвар Рокоссовского, вход-выход 1 в северный вестибюль",55.8149979,37.7321792,1909899.8264268697,6421914.956183804
398,Бульвар Рокоссовского,"Бульвар Рокоссовского, вход-выход 2 в северный вестибюль",55.8154001,37.7329306,1909930.3861877162,6421974.0840485925
399,Бульвар Рокоссовского,"Бульвар Рокоссовского, вход-выход 1 в южный вестибюль",55.8132836,37.7351755,1910145.60037484,6421793.27866375
400,Бульвар Рокоссовского,"Бульвар Рокоссовского, вход-выход 2 в южный вестибюль",55.813449,37.7352186,1910142.0378400146,6421812.003503409
401,Серпуховская,"Серпуховская, вход-выход 2 в вестибюль",55.7269036,37.6257356,1906714.1510554068,6410187.750571045
402,Славянский бульвар,"Славянский бульвар, вход-выход в западный вестибюль",55.728974,37.468856,1897092.5104339584,6407135.7760384735
403,Славянский бульвар,"Славянский бульвар, вход-выход 1 в восточный вестибюль",55.729345,37.47293,1897326.759320574,6407260.53684855
404,Славянский бульвар,"Славянский бульвар, вход-выход 2 в восточный вестибюль",55.730202,37.473107,1897305.934130922,6407356.638253953
405,Славянский бульвар,"Славянский бульвар, вход-выход 3 в восточный вестибюль",55.730934,37.472431,1897237.8099192558,6407421.513296666
406,Смоленская,"Смоленская, вход 1 в вестибюль",55.747952,37.583806,1903383.3451853415,6411579.076445781
407,Смоленская,"Смоленская, вход 2 в вестибюль",55.749036,37.5822488,1903248.4892048454,6411663.37703755
408,Сокол,"Сокол, вход 2 в западный вестибюль",55.8045014,37.51424,1897063.3304615186,6416223.93707402
409,Сокол,"Сокол, вход 1 в западный вестибюль",55.8055344,37.5150184,1897072.407154808,6416351.507764357
410,Сокол,"Сокол, вход-выход 2 в восточный вестибюль",55.8042947,37.5158763,1897170.3255012322,6416235.721452818
411,Сокол,"Сокол, вход-выход 4 в восточный вестибюль",55.8050244,37.5163929,1897174.7164959013,6416325.144189287
412,Сокол,"Сокол, вход-выход 3 в восточный вестибюль",55.804935,37.5167424,1897199.242305146,6416322.783394607
413,Рижская,"Рижская, вход в вестибюль",55.7926231,37.6359244,1904891.9609583628,6417484.36067026
414,Римская,"Римская, вход-выход 1 в вестибюль",55.747281,37.6807937,1909304.4706471888,6413538.877279581
415,Рязанский проспект,"Рязанский проспект, вход в западный вестибюль",55.7162448,37.7926457,1917263.3663232713,6412550.1525296
416,Рязанский проспект,"Рязанский проспект, вход в восточный вестибюль",55.717714835,37.79368256,1917271.4271756748,6412730.4225635985
417,Савёловская,"Савёловская, вход-выход 2 в вестибюль",55.7942108,37.5887308,1901967.4699694873,6416668.30371148
418,Савёловская,"Савёловская, вход-выход 1 в вестибюль",55.7940558,37.5871596,1901877.8116435267,6416618.76866027
419,Свиблово,"Свиблово, вход-выход 2 в северный вестибюль",55.856086,37.653862,1903619.516983211,6424698.568518417
420,Свиблово,"Свиблово, вход-выход 3 в южный вестибюль",55.8547925,37.6514186,1903519.5781582738,6424508.0445367815
421,Сокол,"Сокол, вход-выход 1 в восточный вестибюль",55.804217,37.5162194,1897194.0305462494,6416234.488620945
422,Сокольники,"Сокольники, вход 1 в вестибюль",55.7893271,37.6798987,1907684.4592449078,6418050.978374611
423,Сокольники,"Сокольники, вход 2 в вестибюль",55.789257,37.679521,1907664.1386732226,6418035.499165511
424,Спортивная,"Спортивная, вход-выход в южный вестибюль",55.7222857,37.5618704,1902999.7932194031,6408353.68155234
425,Спортивная,"Спортивная, вход в северный вестибюль",55.7238319,37.5656975,1903175.4237232306,6408600.345107027
426,Сретенский бульвар,"Сретенский бульвар, вход-выход 3 в вестибюль",55.7660754,37.6371071,1905950.4493670745,6414648.030186656
427,Сретенский бульвар,"Сретенский бульвар, вход-выход 4 в вестибюль",55.7657548,37.6374965,1905986.0238276147,6414621.635726868
428,Строгино,"Строгино, вход-выход 1 в западный вестибюль",55.803709,37.401437,1890242.0058858967,6413796.110294029
429,Строгино,"Строгино, вход-выход 4 в западный вестибюль",55.804435,37.401930,1890245.253982871,6413884.616778553
430,Сухаревская,"Сухаревская, вход-выход 3 в вестибюль",55.772245,37.632071,1905415.223377146,6415207.468926662
431,Сухаревская,"Сухаревская, вход-выход 4 в вестибюль",55.772318,37.632951,1905465.9719562535,6415233.767402178
432,Сходненская,"Сходненская, вход-выход 1 во 2-й вестибюль",55.8514481,37.4386091,1890740.8549511065,6419714.22402784
433,Сходненская,"Сходненская, вход-выход 2 во 2-й вестибюль",55.8515991,37.4388612,1890750.580741886,6419735.731273077
434,Сходненская,"Сходненская, вход-выход 1 в 1-й вестибюль",55.8495377,37.4393008,1890853.2133306048,6419522.582102889
435,Жулебино,"Жулебино, вход-выход 6 в 1-й вестибюль",55.6841436,37.8554017,1922283.716095792,6410419.450769748
436,Строгино,"Строгино, вход-выход 2 в восточный вестибюль",55.803098,37.404255,1890435.6455099548,6413788.585018759
437,Строгино,"Строгино, вход-выход 4 в восточный вестибюль",55.803813,37.404768,1890440.5098935715,6413876.32035898
438,Студенческая,"Студенческая, вход-выход в вестибюль",55.738902,37.548298,1901559.134936548,6409861.678643588
439,Шоссе Энтузиастов,"Шоссе Энтузиастов, вход-выход 4 в вестибюль",55.7576076,37.7518838,1913239.4335642771,6416146.733912324
440,Жулебино,"Жулебино, вход-выход 2 во 2-й вестибюль",55.68613,37.8565123,1922276.7998896441,6410656.9615262365
441,Жулебино,"Жулебино, вход-выход 3 во 2-й вестибюль",55.6862993,37.8577516,1922345.8669853758,6410701.459732075
442,Жулебино,"Жулебино, вход-выход 4 во 2-й вестибюль",55.685954,37.8573862,1922336.5828360978,6410656.520740209
443,Жулебино,"Жулебино, вход-выход 1 в 1-й вестибюль",55.6848651,37.8549507,1922229.2088795651,6410487.615815912
444,Жулебино,"Жулебино, вход-выход 2 в 1-й вестибюль",55.6848442,37.854404,1922196.721840698,6410473.780751697
445,Жулебино,"Жулебино, вход-выход 3 в 1-й вестибюль",55.6846472,37.8541303,1922187.453308077,6410446.760354428
446,Жулебино,"Жулебино, вход-выход 5 в 1-й вестибюль",55.684466,37.8557874,1922295.0972283508,6410462.35300958
447,Жулебино,"Жулебино, вход-выход 7 в 1-й вестибюль",55.6836776,37.8547418,1922261.0324627769,6410355.269663813
448,Улица 1905 года,"Улица 1905 года, вход в 1-й вестибюль",55.763895,37.562145,1901475.899325939,6412845.177028231
449,Улица академика Королёва,"Улица академика Королёва, вход-выход в вестибюль",55.8218212,37.6265474,1903237.6756748124,6420434.678035577
450,Улица академика Янгеля,"Улица академика Янгеля, вход-выход 1 в северный вестибюль",55.5958068,37.6001871,1910018.6229665729,6395518.608319993
451,Улица академика Янгеля,"Улица академика Янгеля, вход-выход 1 в южный вестибюль",55.5944718,37.6004819,1910086.0695452967,6395380.8363782065
452,Улица академика Янгеля,"Улица академика Янгеля, вход-выход 2 в северный вестибюль",55.5961437,37.6012648,1910071.946938004,6395577.53933457
453,Улица академика Янгеля,"Улица академика Янгеля, вход-выход 3 в южный вестибюль",55.5941275,37.6018926,1910184.9610610183,6395373.298327804
454,Улица академика Янгеля,"Улица академика Янгеля, вход-выход 4 в северный вестибюль",55.595992,37.6027031,1910165.3856777272,6395591.348829297
455,Улица Милашенкова,"Улица Милашенкова, вход-выход в вестибюль",55.821901,37.591282,1901095.1286889422,6419706.07046971
456,Площадь Революции,"Площадь Революции, вход в западный (объединенный) вестибюль",55.756634,37.619562,1905234.9242125219,6413262.978210194
457,Чкаловская,"Чкаловская, вход 1 в вестибюль",55.756055,37.6594776,1907682.3908428962,6414037.0609199535
458,Деловой центр,"Деловой центр, вход-выход в вестибюль",55.749036,37.537593,1900533.2063897415,6410730.867821644
459,Лесопарковая,"Лесопарковая, вход-выход в вестибюль",55.5816216,37.5778946,1909182.2456679565,6393521.576220717
460,Улица Скобелевская,"Улица Скобелевская, вход-выход в южный вестибюль",55.5477054,37.5533041,1908933.1355080213,6389348.527150836
461,Университет,"Университет, вход 1 в южный вестибюль",55.6916707,37.534935,1902492.426091636,6404490.206890132
462,Университет,"Университет, вход 1 в северный вестибюль",55.6933978,37.5346985,1902414.18657702,6404671.500311115
463,Филёвский парк,"Филёвский парк, вход-выход в восточный вестибюль",55.7396228,37.4836294,1897598.728183219,6408591.502689109
464,Битцевский парк,"Битцевский парк, вход-выход в вестибюль",55.6004415,37.556297,1907167.2508573676,6395098.876736675
465,Пятницкое шоссе,"Пятницкое шоссе, вход в северный вестибюль",55.857343,37.355271,1885469.0846496287,6418625.652901861
466,Пятницкое шоссе,"Пятницкое шоссе, вход-выход 1 в южный вестибюль",55.854904,37.352861,1885412.426961855,6418312.848512328
467,Митино,"Митино, вход-выход 2 в северный вестибюль",55.845982,37.360024,1886174.551916829,6417498.549639712
468,Митино,"Митино, вход-выход 4 в северный вестибюль",55.846461,37.359332,1886114.976578675,6417535.914931857
469,Митино,"Митино, вход-выход 3 в южный вестибюль",55.84469,37.363736,1886447.229968077,6417435.895922948
470,Волоколамская,"Волоколамская, выход из северного вестибюля",55.836515,37.381302,1887813.5216175918,6416917.35897372
471,Волоколамская,"Волоколамская, выход из южного вестибюля",55.834595,37.383357,1888008.8029085153,6416752.79983239
472,Мякинино,"Мякинино, вход-выход 2",55.826261,37.385342,1888435.5866029393,6415895.082767569
473,Бульвар Рокоссовского,"Бульвар Рокоссовского, вход-выход 3 в южный вестибюль",55.8141349,37.7356549,1910142.8879291872,6421895.070153426
474,Улица Сергея Эйзенштейна,"Улица Сергея Эйзенштейна, вход-выход в вестибюль",55.8294285,37.6449918,1904073.6581857172,6421640.470378442
475,Строгино,"Строгино, вход-выход 2 в западный вестибюль",55.803867,37.400553,1890182.5005135296,6413794.841655219
476,Строгино,"Строгино, вход-выход 3 в западный вестибюль",55.804598,37.401208,1890195.405644219,6413887.242222273
477,Строгино,"Строгино, вход-выход 1 в восточный вестибюль",55.802894,37.405145,1890497.2086383766,6413785.020637673
478,Строгино,"Строгино, вход-выход 3 в восточный вестибюль",55.803625,37.405607,1890498.385822263,6413873.425305622
479,Молодёжная,"Молодёжная, выход из западного вестибюля",55.741336,37.415801,1893408.9270733353,6407366.863810813
480,Молодёжная,"Молодёжная, выход из восточного вестибюля",55.740298,37.418016,1893581.8750211445,6407300.864162343
481,Киевская,"Киевская, вход 1 в вестибюль с пригородных поездов",55.743095,37.564813,1902408.357373868,6410658.582095026
482,Царицыно,"Царицыно, вход-выход 1 в южный вестибюль",55.6197162,37.6706788,1913433.7363425235,6399576.948767191
483,Черкизовская,"Черкизовская, вход-выход 2 в северный вестибюль",55.805133,37.7445447,1911018.449550705,6421112.3018890545
484,Черкизовская,"Черкизовская, вход-выход 1 в северный вестибюль",55.8048131,37.7445503,1911030.740471732,6421077.957330887
485,Черкизовская,"Черкизовская, вход в южный вестибюль",55.8027347,37.7444641,1911103.1561800493,6420852.239729884
486,Чертановская,"Чертановская, вход-выход 3 в северный вестибюль",55.640746,37.6050806,1908652.205990791,6400466.765990671
487,Чертановская,"Чертановская, вход в южный вестибюль",55.6399002,37.608036,1908863.7801317638,6400437.530369118
488,Пушкинская,"Пушкинская, вход-выход 2 в совмещенный вестибюль",55.7653,37.604,1903967.5008926871,6413871.362720446
489,Пушкинская,"Пушкинская, вход-выход 4 в совмещенный вестибюль",55.7653257,37.6050054,1904027.643801575,6413895.165375266
490,Чеховская,"Чеховская, вход-выход 3 в вестибюль",55.7658652,37.6084435,1904216.547827184,6414025.246422636
491,Сходненская,"Сходненская, вход-выход 2 в 1-й вестибюль",55.8492989,37.4393629,1890865.7806059706,6419498.121804194
492,Сходненская,"Сходненская, вход-выход 4 во 2-й вестибюль",55.851709,37.440023,1890816.9964690164,6419771.666652086
493,Сходненская,"Сходненская, вход-выход 3 во 2-й вестибюль",55.8515441,37.4403099,1890840.475063833,6419759.83510196
494,Сходненская,"Сходненская, вход-выход 5 в 1-й вестибюль",55.849722,37.44072,1890932.503753628,6419571.877449632
495,Сходненская,"Сходненская, вход-выход 3 в 1-й вестибюль",55.8492661,37.4406824,1890947.0255010044,6419521.942286219
496,Сходненская,"Сходненская, вход-выход 4 в 1-й вестибюль",55.8496176,37.4410096,1890953.91734605,6419566.625384419
497,Таганская,"Таганская, вход-выход 1 в вестибюль",55.7393895,37.6529419,1907904.8483815403,6412103.872745822
498,Таганская,"Таганская, вход-выход 3 в вестибюль",55.7396869,37.6534996,1907927.700984561,6412147.62342553
499,Таганская,"Таганская, вход-выход 2 в вестибюль",55.7395075,37.653618,1907941.5702084326,6412130.771833588
500,Чистые пруды,"Чистые пруды, вход в вестибюль",55.7649693,37.6382452,1906060.7075395724,6414552.664799191
501,Шоссе Энтузиастов,"Шоссе Энтузиастов, вход-выход 1 в вестибюль",55.758527,37.751631,1913189.7313993757,6416240.463463329
502,Таганская,"Таганская, вход в вестибюль",55.7423722,37.6535961,1907833.7264415224,6412439.058745645
503,Текстильщики,"Текстильщики, вход-выход 4 в западный вестибюль",55.7085789,37.7287994,1913666.0282324436,6410377.771171148
504,Текстильщики,"Текстильщики, вход-выход 3 в восточный вестибюль",55.7095502,37.7331986,1913897.445030192,6410575.086560351
505,Текстильщики,"Текстильщики, вход-выход 2 в восточный вестибюль",55.7090224,37.733577,1913940.1567779318,6410526.182593141
506,Текстильщики,"Текстильщики, вход-выход 1 в западный вестибюль",55.7083382,37.7298615,1913739.6258621651,6410374.200717582
507,Текстильщики,"Текстильщики, вход-выход 4 в восточный вестибюль",55.7095572,37.7335712,1913919.8524567245,6410583.688862285
508,Текстильщики,"Текстильщики, вход-выход 1 в восточный вестибюль",55.7090285,37.7332301,1913918.8238892348,6410519.533153894
509,Домодедовская,"Домодедовская, вход-выход 3 в южный вестибюль",55.611579,37.720775,1916792.7059203368,6399754.75137348
510,Алма-Атинская,"Алма-Атинская, вход в южный вестибюль",55.6334736,37.7650605,1918677.0073304744,6403048.963295853
