,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
64,64,1175,1175,ФОТО,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Нахимовский проспект, дом 40",Академический район,Юго-Западный административный округ,37.5657690818273,55.6773639424136,1904899.8670376642,6403591.844141428
65,65,1183,1183,Типография,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Красноармейская улица, дом 21",район Аэропорт,Северный административный округ,37.53766523258986,55.80238567805125,1898563.9197575832,6416483.825848527
66,66,1210,1210,Картридж Мастер,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Краснопрудная улица, дом 26",Красносельский район,Центральный административный округ,37.667318672084,55.779712976652895,1907278.5100805918,6416751.05420319
67,67,1226,1226,КОПИРКА,"фотоателье, фотоуслуги",КОПИРКА,да,бытовые услуги,"город Москва, улица Красного Маяка, дом 2",район Чертаново Центральное,Южный административный округ,37.6017857874558,55.61186407716727,1909521.412579274,6397283.572146293
68,68,1231,1231,Спектрум-22,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Кременчугская улица, дом 22",район Фили-Давыдково,Западный административный округ,37.4613370936326,55.7180100609575,1897038.9142333185,6405796.988811823
69,69,1232,1232,Фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Кржижановского, дом 4, корпус 2",Академический район,Юго-Западный административный округ,37.5607469101349,55.6820907898786,1904418.987252204,6403996.496175914
70,70,1240,1240,РИАН-ФОТО,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Кржижановского, дом 24/35, корпус 4",Академический район,Юго-Западный административный округ,37.577665126166096,55.6764151997626,1905659.76235182,6403738.390857155
71,71,1262,1262,ФОТОСТУДИЯ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Кулакова, дом 10",район Строгино,Северо-Западный административный округ,37.397302375696604,55.811818311733795,1889692.708002943,6414585.04277728
72,72,1290,1290,ФОТОАТЕЛЬЕ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Кутузовский проспект, дом 43",район Дорогомилово,Западный административный округ,37.52770849251503,55.73761692771603,1900354.2561333538,6409293.533736545
73,73,1294,1294,ФАН СК,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Кутузовский проспект, дом 43",район Дорогомилово,Западный административный округ,37.530467665728196,55.73829150663111,1900497.1580115012,6409423.812087768
