,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
223,2008,24860,24860,ПРИМАВЕРА,Магазин «Промтовары»,Примавера,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.65898883034257,55.757207332695764,1907609.82470862,6414150.995982705
224,2009,24868,24868,Mothercare,Магазин «Промтовары»,Mothercare,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.65898883034257,55.757207332695764,1907609.82470862,6414150.995982705
225,2010,24870,24870,SAMSUNG,Магазин «Промтовары»,Samsung,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.65898883034257,55.757207332695764,1907609.82470862,6414150.995982705
226,2011,24871,24871,Yves Rocher,Магазин «Промтовары»,Yves Rocher,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.65898883034257,55.757207332695764,1907609.82470862,6414150.995982705
227,2012,24873,24873,РУЧКА.РУ,Магазин «Промтовары»,РУЧКА.РУ,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.65898883034257,55.757207332695764,1907609.82470862,6414150.995982705
228,2015,24877,24877,Samsonite Black Label,Магазин «Промтовары»,Samsonite,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.65898883034257,55.757207332695764,1907609.82470862,6414150.995982705
229,2016,24883,24883,SUN SEASON,Магазин «Промтовары»,Sun Season,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
230,2017,24884,24884,Furla,Магазин «Промтовары»,Furla,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
231,2019,24888,24888,Valtera,Магазин «Промтовары»,Valtera,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
232,2021,24890,24890,ZARA,Магазин «Промтовары»,ZARA,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
233,2022,24892,24892,Nike,Магазин «Промтовары»,Nike,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
234,2027,24901,24901,Мегафон,Магазин «Промтовары»,Мегафон,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
235,2029,24904,24904,Ювелирный,Магазин «Промтовары»,Московский Ювелирный Завод,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
236,2030,24905,24905,Л'Этуаль,Магазин «Промтовары»,Л'Этуаль,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
237,2032,24907,24907,Адамас,Магазин «Промтовары»,Адамас,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.658957766485344,55.75722258825554,1907607.3694597487,6414151.988518232
