,Name,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
107,"«Онежская ул. - Колледж», Онежская улица (144)",Головинский район,Северный административный округ,55.84409988,37.52157813,1896044.3466254084,6417961.196355995
108,"«Ст. Коптево», Михалковская улица (145)",Головинский район,Северный административный округ,55.84118267,37.5180298,1895937.0338780023,6418027.26670472
109,"«Ф-ка им. Петра Алексеева», Михалковская улица (146)",Головинский район,Северный административный округ,55.83918271,37.51581327,1895876.5485960275,6410268.937193453
110,"«Электромеханический колледж», Михалковская улица (147)",Головинский район,Северный административный округ,55.83779697,37.51180454,1895684.6159223672,6400483.351309299
111,"«Ф-ка игрушек», улица Клары Цеткин (150)",Войковский район,Северный административный округ,55.82917814,37.51236379,1896037.1988300935,6400444.908120834
112,"«Старопетровский пр.», Старопетровский проезд (151)",Войковский район,Северный административный округ,55.82460143,37.50758103,1895916.1568437086,6419988.471112152
113,"«Онкологический диспансер», Старопетровский проезд (152)",Войковский район,Северный административный округ,55.82364048,37.50344704,1895700.792083159,6420069.585834434
114,"«Коровинское ш.», Коровинское шоссе (154)",район Западное Дегунино,Северный административный округ,55.88231105,37.51857144,1894448.4340778938,6397978.678356274
115,"«Талдомская ул.», улица 800-летия Москвы (155)",Дмитровский район,Северный административный округ,55.8751219,37.52852678,1895317.6800508013,6397750.596275092
116,"«Ин-т Микрохирургии глаза», Бескудниковский бульвар (156)",Бескудниковский район,Северный административный округ,55.87320802,37.53908121,1896028.0935943236,6398029.152453531
117,"«Муз. школа», Бескудниковский бульвар (157)",Бескудниковский район,Северный административный округ,55.87348434,37.5438328,1896305.7865745325,6397959.349020533
118,"«Аптека», Бескудниковский бульвар (158)",Бескудниковский район,Северный административный округ,55.87321427,37.5524069,1896835.336042003,6397960.600832107
119,"«Школа № 656», Бескудниковский бульвар (159)",Бескудниковский район,Северный административный округ,55.87114913,37.554861,1897060.5700926583,6400575.2501733815
120,"«Рогачевский пер.», Бескудниковский бульвар (160)",Бескудниковский район,Северный административный округ,55.86750227,37.55767154,1897366.040636011,6400516.233057205
121,"«Бескудниковский пер.», Бескудниковский бульвар (161)",Бескудниковский район,Северный административный округ,55.86350936,37.56080902,1897704.181897752,6400526.020276137
122,"«Торговый центр», Бескудниковский бульвар (162)",Бескудниковский район,Северный административный округ,55.86192215,37.5619061,1897829.508050344,6400585.109592165
123,"«Роддом № 27», Коптевский бульвар (163)",район Коптево,Северный административный округ,55.83113256,37.52861005,1896950.6351212144,6400413.932171026
124,"«Коптевский рынок», Коптевский бульвар (164)",район Коптево,Северный административный округ,55.83296339,37.52183663,1896471.9656152667,6399423.620718971
125,"«Коптевская ул.», Коптевская улица (165)",район Коптево,Северный административный округ,55.82930661,37.51809726,1896380.3340129843,6399472.693128366
126,"«Коптевская ул.», Коптевская улица (166)",район Коптево,Северный административный округ,55.83087861,37.51910841,1896383.5494218313,6424359.774712568
127,"«Коптевский рынок», Коптевский бульвар (167)",район Коптево,Северный административный округ,55.83208819,37.5210781,1896458.3174331042,6424572.172602493
128,"«Роддом № 27», Коптевский бульвар (168)",район Коптево,Северный административный округ,55.83033095,37.52758869,1896918.326038967,6424569.707883519
129,"«Метро Петровско-Разумовская», Локомотивный проезд (169)",Тимирязевский район,Северный административный округ,55.8372403,37.57571844,1899582.0308727387,6424369.513294197
130,"«К/т Комсомолец», Дмитровское шоссе (170)",Тимирязевский район,Северный административный округ,55.84221842,37.57029254,1899068.3858741883,6413195.325412558
131,"«Нижн. Лихоборы», Дмитровское шоссе (171)",Тимирязевский район,Северный административный округ,55.84699926,37.56848803,1898781.7181641352,6413172.960353588
132,"«7-й автобусный парк», Дмитровское шоссе (172)",Бескудниковский район,Северный административный округ,55.85171839,37.5655145,1898426.483488814,6400483.330843875
133,"«Торговый центр», Бескудниковский бульвар (173)",Бескудниковский район,Северный административный округ,55.86285461,37.56167358,1897780.8514931784,6400426.320607874
134,"«Бескудниковский пер.», Бескудниковский бульвар (174)",Бескудниковский район,Северный административный округ,55.86490713,37.56012464,1897610.894433662,6400472.525786568
135,"«Рогачевский пер.», Бескудниковский бульвар (175)",Бескудниковский район,Северный административный округ,55.86932066,37.55664809,1897236.6267855007,6412765.839478491
136,"«Школа № 656», Бескудниковский бульвар (176)",Бескудниковский район,Северный административный округ,55.8726825,37.55392499,1896947.0288325893,6416754.10478163
137,"«Аптека», Бескудниковский бульвар (177)",Бескудниковский район,Северный административный округ,55.87378923,37.5508956,1896722.456612025,6415124.913857968
138,"«Бескудниково», Бескудниковский бульвар (178)",Бескудниковский район,Северный административный округ,55.87383774,37.54640192,1896448.3707076334,6415322.923060877
139,"«Муз. школа», Бескудниковский бульвар (179)",Бескудниковский район,Северный административный округ,55.87363021,37.54269997,1896231.7396539517,6411606.805360956
140,"«Ин-т Микрохирургии глаза», Бескудниковский бульвар (180)",Бескудниковский район,Северный административный округ,55.87348554,37.53715086,1895900.8444772041,6411781.405883134
141,"«Коровинское ш.», Коровинское шоссе (181)",Дмитровский район,Северный административный округ,55.88348784,37.51779428,1894357.809918088,6411629.893438452
142,"«Кронштадтский бульв.», Кронштадтский бульвар (182)",Головинский район,Северный административный округ,55.84295524,37.49676253,1894581.5236731132,6408974.33305269
143,"«Гимназия № 1583», Кронштадтский бульвар (183)",Головинский район,Северный административный округ,55.84380494,37.50020429,1894758.886522704,6408732.535006797
144,"«Нарвская ул. - Университет Гражданской Авиации», Кронштадтский бульвар (184)",Головинский район,Северный административный округ,55.84383493,37.50221161,1894879.5302264893,6408731.723058494
145,"«Детский сад», Нарвская улица (185)",Головинский район,Северный административный округ,55.84091159,37.50337847,1895058.3513151035,6408984.742733442
146,"«3-й Лихачевский пер.», 3-й Лихачёвский переулок (186)",Головинский район,Северный административный округ,55.84889439,37.52197759,1895891.209236098,6408927.295155177
147,"«База механизации», 4-й Лихачёвский переулок (187)",Головинский район,Северный административный округ,55.8511234,37.52718031,1896124.2259188166,6409019.766806092
148,"«Лихоборская наб. - Хим-тех. з-д», Автомоторная улица (188)",Головинский район,Северный административный округ,55.85278126,37.53048767,1896263.4149735689,6408768.964212518
149,"«Автомоторная ул.», Автомоторная улица (189)",Головинский район,Северный административный округ,55.84923721,37.53655232,1896762.3298548541,6408709.192333522
150,"«Кадетский корпус полиции», 4-й Новомихалковский проезд (191)",район Коптево,Северный административный округ,55.84292301,37.54326043,1897402.9034010044,6402712.545007592
151,"«Митинская ул., 48», Митинская улица (193)",район Митино,Северо-Западный административный округ,55.84954574,37.35496588,1885736.8174794526,6410149.209930297
152,"«4-й Новомихалковский пр. - Поликлиника № 159», 4-й Новомихалковский проезд (194)",район Коптево,Северный административный округ,55.84060584,37.54523209,1897608.2871493658,6410388.819707273
153,"«Кадетский корпус полиции», 4-й Новомихалковский проезд (195)",район Коптево,Северный административный округ,55.84321186,37.54350999,1897407.3428113773,6414631.8732412215
154,"«НАМИ», Автомоторная улица (196)",Головинский район,Северный административный округ,55.8464752,37.54100334,1897134.4957625351,6414642.933013093
155,"«Автомоторная ул.», Автомоторная улица (197)",Головинский район,Северный административный округ,55.84992976,37.53598672,1896702.395967502,6414659.921744698
156,"«Лихоборская наб. - Хим-тех. з-д», Автомоторная улица (198)",Головинский район,Северный административный округ,55.85291818,37.53095343,1896286.58791248,6414669.530724419
157,"«База механизации», 4-й Лихачёвский переулок (199)",Головинский район,Северный административный округ,55.85125394,37.52699793,1896108.336582917,6402704.511371512
158,"«3-й Лихачевский пер.», Онежская улица (200)",Головинский район,Северный административный округ,55.84831504,37.52091766,1895848.3649214136,6414552.74342912
159,"«Диспансер», Нарвская улица (201)",Головинский район,Северный административный округ,55.83752032,37.50480971,1895270.5140550695,6413285.305877136
160,"«Детский сад», Нарвская улица (202)",Головинский район,Северный административный округ,55.84200789,37.50344783,1895022.039541402,6409211.9105119165
161,"«Гимназия № 1583», Кронштадтский бульвар (203)",Головинский район,Северный административный округ,55.84370335,37.49912551,1894697.2079071556,6409235.213573473
162,"«Кронштадтский бульв.», Кронштадтский бульвар (204)",Головинский район,Северный административный округ,55.84289574,37.49584482,1894528.0570190337,6405568.283000995
