,ObjectName,NameSummer,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
264,Физкультурно-оздоровительный комплекс «Сокольники»,зал тренажерный №1,"3-й Лучевой просек, дом 4, строение 1",район Сокольники,Восточный административный округ,37.67466094175886,55.799632183549086,1906982.7389917444,6419051.509560392
265,Физкультурно-оздоровительный комплекс «Сокольники»,зал тренажерный №2,"3-й Лучевой просек, дом 4, строение 1",район Сокольники,Восточный административный округ,37.67474501216237,55.7996660366335,1906986.5811345205,6419056.920779462
266,Спортивный зал «Самбо-70»,зал тренажерный,"улица Бутлерова, дом 12",район Коньково,Юго-Западный административный округ,37.52794169789859,55.651741946045505,1903541.5195264977,6400038.462547515
267,Спортивно-оздоровительный центр «Олимп»,зал тренажерный,"Норильская улица, дом 7",Лосиноостровский район,Северо-Восточный административный округ,37.695017973390954,55.87614515949372,1905365.435496819,6427722.000682487
268,Спортивный зал «Атлетический клуб Аксон имени Ю.С. Поветкина»,зал тренажерный №2,"Шарикоподшипниковская улица, дом 6/14",Южнопортовый район,Юго-Восточный административный округ,37.672639,55.719972,1909824.9762542092,6410424.534671598
269,Фитнес клуб «Эн Чойз Фитнес»,зал тренажерный №2,"улица Адмирала Макарова, дом 4",Войковский район,Северный административный округ,37.49269877099825,55.83377023831329,1894674.3266857308,6418931.187077654
270,Фитнес клуб «Эн Чойз Фитнес»,зал тренажерный №1,"улица Адмирала Макарова, дом 4",Войковский район,Северный административный округ,37.49254320287421,55.83362260646158,1894670.3412215824,6418912.037221121
271,Спортивный зал «Атлетический клуб Аксон имени Ю.С. Поветкина»,зал тренажерный №1,"Шарикоподшипниковская улица, дом 6/14",Южнопортовый район,Юго-Восточный административный округ,37.672639,55.719972,1909824.9762542092,6410424.534671598
272,Спортивный зал «Спортивная школа № 4»,зал тренажерный,"2-я Вольская улица, дом 16, корпус 2",район Некрасовка,Юго-Восточный административный округ,37.922648273290264,55.685496269880986,1926324.9304783011,6411992.22382912
273,ТЦ Авиапарк,зал тренажерный,"улица Авиаконструктора Микояна, дом 10А, строение 1",Хорошёвский район,Северный административный округ,37.531584226317236,55.790119086837635,1898648.4563090487,6415034.717328668
274,Фитнес клуб «Тиан»,зал тренажерный,"улица Плещеева, дом 11В",район Бибирево,Северо-Восточный административный округ,37.612434,55.8892,1899878.241900157,6427400.308276959
275,Фитнес клуб «Ворлд Класс Триумф»,зал тренажерный,"Чапаевский переулок, дом 3",Хорошёвский район,Северный административный округ,37.52072412236639,55.79851291906375,1897678.4597282796,6415713.359115093
276,Фитнес клуб «Твой фитнес»,зал тренажерный,"Енисейская улица, дом 29",Бабушкинский район,Северо-Восточный административный округ,37.664965381614365,55.87332860350321,1903650.2277787996,6426788.818860595
277,Фитнес клуб «Яблоко»,зал тренажерный,"улица Бажова, дом 8",район Ростокино,Северо-Восточный административный округ,37.66225365799674,55.83277304837801,1904996.0696682485,6422362.395414746
278,Фитнес клуб «Ракета Колумбус»,зал тренажерный №2,"улица Красного Маяка, дом 2Б",район Чертаново Центральное,Южный административный округ,37.606936,55.611012,1909867.3064668293,6397299.703739802
279,Фитнес клуб «Акваферст»,зал тренажерный №2,"3-й Павловский переулок, владение 1, строение 2",Даниловский район,Южный административный округ,37.630486793236614,55.71918849181975,1907289.6650188202,6409455.713281802
280,Фитнес клуб «Акваферст»,зал тренажерный №1,"3-й Павловский переулок, владение 1, строение 2",Даниловский район,Южный административный округ,37.630486793236614,55.71918849181975,1907289.6650188202,6409455.713281802
281,Фитнес клуб «Ракета Колумбус»,зал тренажерный №1,"улица Красного Маяка, дом 2Б",район Чертаново Центральное,Южный административный округ,37.606936,55.611012,1909867.3064668293,6397299.703739802
