,ParkingName,CarCapacity,Address,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
6567,Парковка №4062 (12),23,"город Москва, Осенний бульвар, дом 15",район Крылатское,Западный административный округ,55.760695523689,37.4069559253637,1892159.0190129946,6409271.460960645
6568,Парковка №4062 (13),3,"город Москва, Осенний бульвар, дом 19",район Крылатское,Западный административный округ,55.7625017863076,37.4067870059462,1892082.3360072284,6409462.772408389
6569,Парковка №4062 (15),5,"город Москва, Осенний бульвар, дом 21",район Крылатское,Западный административный округ,55.7633302464209,37.4066555561584,1892043.8824732755,6409549.400236902
6570,Парковка №4042 (75),12,"город Москва, Сиреневый бульвар, дом 2",район Измайлово,Восточный административный округ,55.8021825248341,37.7537608433129,1911687.8875294921,6420988.415864659
6571,Парковка №4042 (76),10,"город Москва, Сиреневый бульвар, дом 2",район Измайлово,Восточный административный округ,55.8022021602998,37.7547478906744,1911747.0442343347,6421011.309644551
6572,Парковка №4042 (77),17,"город Москва, Сиреневый бульвар, дом 2",район Измайлово,Восточный административный округ,55.8022141468773,37.7562954983379,1911840.4991995115,6421045.181781606
6573,Парковка №4042 (78),11,"город Москва, Сиреневый бульвар, дом 4, строение 3",район Измайлово,Восточный административный округ,55.8022353086928,37.7585727435541,1911977.8818959435,6421095.407125157
6574,Парковка №4042 (79),7,"город Москва, Сиреневый бульвар, дом 4, строение 1",район Измайлово,Восточный административный округ,55.8022594250913,37.7598655398297,1912055.421329732,6421125.226114782
6575,Парковка №4042 (80),31,"город Москва, Сиреневый бульвар, дом 4, строение 4",район Измайлово,Восточный административный округ,55.8023303134539,37.7631029469665,1912249.2004374561,6421201.036184777
6576,Парковка №4042 (81),7,"город Москва, Сиреневый бульвар, дом 4, корпус 1",район Измайлово,Восточный административный округ,55.8023724841687,37.7657100956499,1912405.810392919,6421260.487871764
6577,Парковка №4042 (82),2,"город Москва, Сиреневый бульвар, дом 6, корпус 1",район Измайлово,Восточный административный округ,55.8022718412316,37.7758682285156,1913025.899824254,6421463.648773503
6578,Парковка №4042 (83),14,"город Москва, Сиреневый бульвар, дом 6, корпус 1",район Измайлово,Восточный административный округ,55.8022857474763,37.7772854477134,1913111.3651043447,6421495.011320973
