,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
51755,51755,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51812,51812,Cocos Moscow,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",поселение Сосенское,Новомосковский административный округ,37.490882,55.603483,1903060.5734733846,6394059.967365627
51813,51813,Sorry im not,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",поселение Сосенское,Новомосковский административный округ,37.490882,55.603483,1903060.5734733846,6394059.967365627
51814,51814,Меха Европы,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Киевская улица, дом 2",район Дорогомилово,Западный административный округ,37.563023000000015,55.743407753758504,1902287.9198137086,6410654.909370951
51815,51815,Play Today,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Театральный проезд, дом 5, строение 1",Мещанский район,Центральный административный округ,37.62455799999999,55.760132758612535,1905408.645237217,6413744.69331308
51816,51816,Eterna,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Мира, дом 211, корпус 2",район Свиблово,Северо-Восточный административный округ,37.66061841155048,55.845334058538256,1904429.2891308463,6423681.567389896
51817,51817,Bat Norton,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",поселение Сосенское,Новомосковский административный округ,37.490882,55.603483,1903060.5734733846,6394059.967365627
51818,51818,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51819,51819,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51820,51820,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51821,51821,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51822,51822,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51823,51823,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51824,51824,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51825,51825,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51826,51826,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51827,51827,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51828,51828,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51829,51829,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51830,51830,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51831,51831,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51832,51832,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Шарикоподшипниковская улица, дом 13, строение 3",Южнопортовый район,Юго-Восточный административный округ,37.67844099999999,55.71877274662193,1910222.5558517724,6410417.149384504
51856,51856,Женская одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Нежинская улица, дом 6, корпус 1",район Очаково-Матвеевское,Западный административный округ,37.47071699999999,55.709603743969744,1897919.769878881,6405085.53318641
51858,51858,Детская одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Нежинская улица, дом 6, корпус 1",район Очаково-Матвеевское,Западный административный округ,37.47071699999999,55.709603743969744,1897919.769878881,6405085.53318641
51859,51859,Моно-Стиль,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Серпуховский Вал, дом 21, корпус 1",Даниловский район,Южный административный округ,37.61030800000001,55.71090374434566,1906369.2500376662,6408139.881981395
51860,51860,Bugatti,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Большая Тульская улица, дом 13",Даниловский район,Южный административный округ,37.622107,55.708772743729476,1907166.4207880888,6408157.352315723
51861,51861,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 86Б",район Тропарёво-Никулино,Западный административный округ,37.48151200000001,55.66169673014753,1900343.2686658413,6400143.538189943
51862,51862,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 86Б",район Тропарёво-Никулино,Западный административный округ,37.48151200000001,55.66169673014753,1900343.2686658413,6400143.538189943
51863,51863,VITTORIA FELICE,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Большая Тульская улица, дом 13",Даниловский район,Южный административный округ,37.622107,55.708772743729476,1907166.4207880888,6408157.352315723
51866,51866,BettyDress,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Большая Тульская улица, дом 13",Даниловский район,Южный административный округ,37.622107,55.708772743729476,1907166.4207880888,6408157.352315723
51867,51867,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 86Б",район Тропарёво-Никулино,Западный административный округ,37.48151200000001,55.66169673014753,1900343.2686658413,6400143.538189943
51868,51868,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 86Б",район Тропарёво-Никулино,Западный административный округ,37.48151200000001,55.66169673014753,1900343.2686658413,6400143.538189943
51869,51869,T-Skirt,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Большая Тульская улица, дом 13",Даниловский район,Южный административный округ,37.622107,55.708772743729476,1907166.4207880888,6408157.352315723
51870,51870,LUSIO OUTLET,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Орджоникидзе, дом 11",Донской район,Южный административный округ,37.59556799999999,55.70915974384136,1905536.8014332082,6407643.267926934
51871,51871,Детские товары,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 86Б",район Тропарёво-Никулино,Западный административный округ,37.48151200000001,55.66169673014753,1900343.2686658413,6400143.538189943
