,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
306,1955,43570,43570,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Голубинская улица, дом 5, корпус 1",район Ясенево,Юго-Западный административный округ,37.514012,55.60694071442168,1904345.4153799752,6394915.762647038
307,1958,43643,43643,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Старый Петровско-Разумовский проезд, дом 1/23, строение 2",Савёловский район,Северный административный округ,37.563346,55.8006437703997,1900187.6716790157,6416831.635381756
308,1966,44150,44150,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Староватутинский проезд, дом 12, строение 1",Бабушкинский район,Северо-Восточный административный округ,37.671261,55.874691792053966,1903980.77321483,6427067.538096006
309,2003,44588,44588,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 72",район Бибирево,Северо-Восточный административный округ,37.587999000000025,55.89028179663103,1898358.36203758,6427006.847560393
310,2016,44819,44819,Кофейня Кантата,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, проспект Мира, дом 211, корпус 2",район Свиблово,Северо-Восточный административный округ,37.66061841155048,55.845334058538256,1904429.2891308463,6423681.567389896
311,2020,44927,44927,5lb,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, Енисейская улица, дом 19, корпус 1",Бабушкинский район,Северо-Восточный административный округ,37.66304000000001,55.86921979044895,1903686.627655801,6426305.819400216
312,2041,45241,45241,Икра,Прочие специализированные продовольственные предприятия торговли,Красная икра,да,реализация продовольственных товаров,"город Москва, Люблинская улица, дом 112, строение 3",район Марьино,Юго-Восточный административный округ,37.742854999999984,55.65002572678915,1916705.8848538648,6404364.07936037
313,2055,45595,45595,5LB,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 56",Обручевский район,Юго-Западный административный округ,37.55219999999999,55.669767732472046,1904354.077487841,6402489.095309951
314,2060,46014,46014,Шантимель,Прочие специализированные продовольственные предприятия торговли,Шантимель,да,реализация продовольственных товаров,"город Москва, Ленинский проспект, дом 109",Обручевский район,Юго-Западный административный округ,37.511132,55.66379273075104,1902071.7159684848,6400987.164556911
315,2068,46344,46344,Мясницкий ряд,Прочие специализированные продовольственные предприятия торговли,Мясницкий ряд,да,реализация продовольственных товаров,"город Москва, Планерная улица, дом 7",район Северное Тушино,Северо-Западный административный округ,37.435034,55.86269778853693,1890109.4798661016,6420853.068326377
316,2069,46378,46378,Баскин Роббинс,Прочие специализированные продовольственные предприятия торговли,Баскин Роббинс,да,реализация продовольственных товаров,"город Москва, Новокуркинское шоссе, дом 1",район Куркино,Северо-Западный административный округ,37.406258,55.88530479516914,1887532.5292355956,6422694.760601595
317,2078,46449,46449,Мясницкий ряд,Прочие специализированные продовольственные предприятия торговли,Мясницкий ряд,да,реализация продовольственных товаров,"город Москва, Фестивальная улица, дом 2А",район Левобережный,Северный административный округ,37.476135000000006,55.854006785990755,1892922.3175247519,6420768.688788381
318,2079,46450,46450,Рублевский,Прочие специализированные продовольственные предприятия торговли,Рублевский,да,реализация продовольственных товаров,"город Москва, Фестивальная улица, дом 2А",район Левобережный,Северный административный округ,37.476135000000006,55.854006785990755,1892922.3175247519,6420768.688788381
319,2083,46457,46457,ВкусВилл,Прочие специализированные продовольственные предприятия торговли,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Фестивальная улица, дом 2А",район Левобережный,Северный административный округ,37.476135000000006,55.854006785990755,1892922.3175247519,6420768.688788381
320,2141,46664,46664,Красная икра,Прочие специализированные продовольственные предприятия торговли,Красная икра,да,реализация продовольственных товаров,"город Москва, Дмитровское шоссе, дом 13, корпус 1",Тимирязевский район,Северный административный округ,37.573305,55.81814277550429,1900143.6806616231,6418925.655720808
321,2150,46819,46819,Кантата,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, Ленинградское шоссе, дом 16А, строение 4",Войковский район,Северный административный округ,37.497057,55.82307777694528,1895333.7766904973,6417869.0743875615
322,2151,46840,46840,Krispy Creme,Прочие специализированные продовольственные предприятия торговли,Krispy Creme,да,реализация продовольственных товаров,"город Москва, Ленинградское шоссе, дом 16А, строение 4",Войковский район,Северный административный округ,37.497057,55.82307777694528,1895333.7766904973,6417869.0743875615
323,2153,46855,46855,Подворье,Прочие специализированные продовольственные предприятия торговли,Подворье,да,реализация продовольственных товаров,"город Москва, Фестивальная улица, дом 2Б",район Левобережный,Северный административный округ,37.47837400000001,55.85518178633489,1893014.7102767248,6420941.859374613
324,2172,47069,47069,Отдел «У Палыча»,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, Кировоградская улица, дом 12, корпус 2",район Чертаново Северное,Южный административный округ,37.60885999999999,55.6239487192981,1909505.2854394247,6398734.932361388
325,2183,47447,47447,Магазин при АЗС «BP»,Прочие специализированные продовольственные предприятия торговли,BP,да,реализация продовольственных товаров,"город Москва, Загородное шоссе, владение 2Б",Донской район,Южный административный округ,37.60499365581555,55.701193781281546,1906405.914641592,6406981.845207023
